classid,classname,classstarttime,classendtime,classteacher,classlocation,classcost,classtotalstudent,classadddate,classavailable,classtag
42,TXT YEONJUN & HUENINGKAI - THE DEVIL I KNOW,19:30,21:30,A,Studio 2,16,30,8/23/2023,yes,class03
43,ITZY | CAKE,13:00,15:00,B,Studio 2,16,30,8/26/2023,yes,class03
45,NCT 127 | LIMITLESS,13:00,15:00,B,Studio 2,16,30,8/27/2023,yes,class03
46,RIIZE | SIREN,15:30,17:30,A,Studio 2,16,30,8/27/2023,yes,class03
47,A CHOREOGRAPHY,19:30,21:00,A,Studio 2,12,30,8/24/2023,yes,class07
48,C: COMMERCIAL CHOREOGRAPHY,19:30,21:00,C,Studio 2,12,30,10/6/2023,yes,class07
57,JEON SOMI | FAST FORWARD,13:00,15:00,D,Studio 2,16,30,9/2/2023,yes,class03
58,EVERGLOW | SLAY,15:30,17:30,D,Studio 2,16,30,9/2/2023,yes,class03
60,ENHYPEN | CRIMINAL LOVE,15:30,17:30,C,Studio 2,16,30,9/3/2023,yes,class03
61,STRAY KIDS | SUPER BOWL,19:30,21:30,A,Studio 2,16,30,9/6/2023,yes,class03
62,TWICE JIHYO | KILLING ME GOOD,13:00,15:00,E,Studio 2,16,30,9/9/2023,yes,class03
63,BTS | FAKE LOVE,15:30,17:30,A,Studio 2,16,30,9/10/2023,yes,class03
64,BLACKPINK | PRETTY SAVAGE (COACHELLA VER.),13:00,15:00,C,Studio 2,16,15,9/10/2023,yes,class05
65,ITZY | NONE OF MY BUSINESS,13:00,15:00,D,Studio 2,16,30,8/12/2023,yes,class03
66,XG | GRL GVNG,15:30,17:30,C,Studio 2,16,30,8/12/2023,yes,class03
67,JUNGKOOK | SEVEN (PART 2),13:00,15:00,A,Studio 2,16,30,8/13/2023,yes,class03
68,TWICE | MORE & MORE,15:30,17:30,B,Studio 2,16,30,8/13/2023,yes,class03
69,HYO | PICTURE,15:30,17:30,B,Studio 2,16,30,9/9/2023,no,class03
70,SEVENTEEN | FIRE,15:30,17:30,A,Studio 2,16,30,9/17/2023,yes,class03
71,NCT U | BAGGY JEANS,13:00,15:00,C,Studio 2,16,30,9/17/2023,yes,class03
72,BTS JIMIN | I NEED YOU (MMA 2019) REMIX,13:00,15:00,E,Studio 2,16,15,9/16/2023,yes,class05
73,RIIZE | MEMORIES,19:30,21:30,A,Studio 2,16,30,9/13/2023,yes,class03
74,XG | TGIF,15:30,17:30,C,Studio 2,16,30,9/16/2023,yes,class03
75,A CHOREOGRAPHY,19:30,21:00,A,Studio 2,12,30,9/7/2023,yes,class07
77,JEON SOMI | GOLD GOLD GOLD,13:00,15:00,B,Studio 2,16,30,9/23/2023,yes,class03
78,SWF 2 | SMOKE (CHOREO BY BEBE BADA LEE ),15:30,17:30,C,Studio 2,16,30,9/23/2023,yes,class03
79,HWASA | I LOVE MY BODY,13:00,15:00,C,Studio 2,16,30,9/24/2023,yes,class03
80,NCT U | THE BAT,13:00,15:00,B,Studio 2,16,30,9/30/2023,yes,class03
81,A: CHOREOGRAPHY,19:30,21:00,A,Studio 2,12,30,9/21/2023,yes,class07
82,C: COMMERCIAL CHOREOGRAPHY,19:30,21:00,C,Studio 2,12,30,9/22/2023,yes,class07
83,SEVENTEEN | I DON'T UNDERSTAND BUT I LOVE U,15:30,17:30,D,Studio 2,16,30,9/24/2023,yes,class03
84,BLACKPINK | THE GIRLS (THE GAME),15:30,17:30,B,Studio 2,16,30,9/30/2023,yes,class03
85,RIIZE | GET A GUITAR,19:30,21:30,A,Studio 2,16,30,9/27/2023,yes,class03
86,XG | NEW DANCE,13:00,15:00,B,Studio 2,16,30,10/1/2023,yes,class03
87,NCT U | 90'S LOVE,15:30,17:30,C,Studio 2,16,30,10/1/2023,yes,class03
89,NEW JEANS | ASAP,13:00,15:00,B,Studio 2,16,30,10/7/2023,yes,class03
90,"SWF 2 - JAM REPUBLIC 'Eve, Psyche & The Bluebeard's wife' ",15:30,17:30,C,Studio 2,16,30,10/7/2023,yes,class03
91,K-FIT,12:00,13:00,C,Studio 2,10,20,10/18/2023,yes,class08
92,TXT ft ANITA | BACK FOR MORE,15:30,17:30,C,Studio 2,16,30,10/8/2023,yes,class03
93,STRAY KIDS | GOD'S MENU,13:00,15:00,B,Studio 2,16,30,10/8/2023,yes,class03
94,JUNGKOOK | 3D,13:00,15:00,A,Studio 2,16,30,10/15/2023,yes,class03
95,A CHOREOGRAPHY,19:30,21:00,A,A,12,30,10/5/2023,yes,class07
96,SEVENTEEN HOSHI | MMM (JONGHO CHOREOGRAPHY),19:30,21:30,A,Studio 2,16,30,10/11/2023,yes,class03
97,NCT 127 | KICK IT,13:00,15:00,B,Studio 2,16,30,10/14/2023,yes,class03
98,BLACKPINK | BBHMM (CHOREOGRAPHY BY PARRIS GOEBEL),15:30,17:30,C,Studio 2,16,30,10/14/2023,yes,class03
99,(G)I-DLE | LATATA,15:30,17:30,B,Studio 2,16,30,10/15/2023,yes,class03
100,K-FIT,18:15,19:15,C,Studio 2,10,20,10/18/2023,yes,class08
101,K-FIT,18:15,19:15,C,Studio 2,10,20,10/25/2023,yes,class08
102,C: CHOREOGRAPHY,19:30,21:00,C,Studio 2,12,30,10/20/2023,yes,class07
103,A: CHOREOGRAPHY,19:30,21:00,A,Studio 2,12,30,10/19/2023,yes,class07
104,C: COMMERCIAL CHOREOGRAPHY,19:30,21:00,C,Studio 2,12,30,10/20/2021,yes,class07
105,STRAY KIDS | HALL OF FAME,19:30,21:30,A,Studio 2,16,30,10/18/2023,yes,class03
106,BLACKPINK | PARTITION,15:30,17:30,C,Studio 2,16,30,10/21/2023,yes,class03
109,LEE CHAEYEON | LET'S DANCE,15:30,17:30,D,Studio 2,16,30,10/22/2023,yes,class03
110,IVE | BADDIE,15:30,17:30,C,Studio 2,16,30,10/28/2023,yes,class03
111,NCT 127 | FACT CHECK,13:00,15:00,A,Studio 2,16,30,10/29/2023,yes,class03
112,BLACKPINK | SHUTDOWN (SWF 2 - 1M CHOREOGRAPHY),13:00,15:00,C,Studio 1,16,20,10/29/2023,no,class03
114,K-FIT,18:15,19:15,C,Studio 2,10,20,11/1/2023,yes,class08
115,K-FIT,12:00,13:00,C,Studio 2,10,20,11/1/2023,yes,class08
116,C : CHOREOGRAPHY,19:30,21:00,C,Studio 2,12,30,10/27/2023,yes,class07
117,JENNIE | YOU & ME,13:00,15:00,B,Studio 2,16,30,10/22/2023,yes,class03
118,TXT | CHASING THAT FEELING,13:00,15:00,D,Studio 2,16,30,10/28/2023,yes,class03
119,XG | PUPPET SHOW,19:30,21:30,D,Studio 2,16,30,10/25/2023,yes,class03
120,K-FIT,12:00,13:00,C,Studio 1,10,20,11/8/2023,yes,class08
121,K-FIT,18:15,19:15,C,Studio 2,10,20,11/8/2023,yes,class08
122,HALLOWEEN OPEN STUDIO EVENT,15:30,19:00,F,Studio 1 & 2,5,30,10/29/2023,yes,class01
124,BLACKPINK | SHUT DOWN,13:00,15:00,C,Studio 1,16,30,10/29/2023,yes,class03
125,ZEROBASEONE | NEW KIDZ ON THE BLOCK,19:30,21:30,A,Studio 2,16,30,11/1/2023,yes,class03
126,IVE | OFF THE RECORD,13:00,15:00,B,Studio 2,16,30,11/4/2023,yes,class03
127,NCT NEW TEAM | HANDS UP,15:30,17:30,D,Studio 2,16,30,11/4/2023,yes,class03
128,SEVENTEEN | CRUSH,13:00,15:00,A,Studio 2,16,30,11/5/2023,yes,class03
129,ITZY | KILL SHOT,15:30,17:30,B,Studio 2,16,30,11/5/2023,yes,class03
130,NCT 127 | PARADE,13:00,15:00,B,Studio 2,16,30,11/11/2023,yes,class03
131,NEW JEANS | DITTO,15:30,17:30,C,Studio 2,16,30,11/11/2023,yes,class03
132,BLACKPINK | PINK VENOM,13:00,14:15,C,Studio 1,10,20,11/11/2023,yes,class02
133,SEVENTEEN | GOD OF MUSIC,13:00,15:00,A,Studio 2,16,30,11/12/2023,yes,class03
134,BLACKPINK | 16 SHOTS,15:30,17:30,C,Studio 2,16,30,11/12/2023,yes,class03
136,K-FIT | BTS,18:15,19:15,C,Studio 2,10,30,11/22/2023,yes,class08
137,K-FIT | IVE & LE SSERAFIM,12:00,13:00,C,Studio 1,10,20,11/15/2023,yes,class08
138,K-FIT | IVE & LE SSERAFIM,18:15,19:15,C,Studio 2,10,30,11/15/2023,yes,class08
139,IVE | LOVE DIVE,13:00,14:15,C,Studio 1,10,20,11/18/2023,yes,class02
140,JENNIE | SOLO,13:00,14:15,C,Studio 1,10,30,11/25/2023,yes,class02
141,LE SSERAFIM | PERFECT NIGHT,13:00,15:00,D,Studio 2,16,30,11/18/2023,yes,class03
142,RIIZE - TALK SAXY,19:30,21:30,A,Studio 2,16,30,11/8/2023,yes,class03
143,A: CHOREO | JUNGKOOK - Please don't change,19:30,21:00,A,Studio 2,12,30,11/16/2023,yes,class07
145,K-FIT | IVE & LE SSERAFIM,11:00,12:00,C,Studio 2,10,20,11/18/2023,yes,class08
146,C'S CHOREO | Pussycat Dolls - Buttons,13:00,15:00,C,Studio 1,16,30,11/19/2023,yes,class01
147,TAEMIN | GUILTY,19:30,21:30,D,Studio 2,16,30,11/15/2023,yes,class03
148,C : CHOREOGRAPHY,19:30,21:00,C,Studio 2,12,20,1/10/2023,yes,class07
149,C : CHOREO | New Jeans - GODS,19:30,21:00,C,Studio 2,12,20,11/17/2023,yes,class07
150,C :  CHOREO | New Jeans - GODS,19:30,21:00,C,Studio 2,12,20,11/24/2023,yes,class07
151,IVE | ELEVEN,15:30,17:30,C,Studio 2,16,30,11/18/2023,no,class03
152,JUNG KOOK | STANDING NEXT TO YOU,15:30,17:30,A,Studio 2,16,30,11/19/2023,yes,class03
154,K-FIT | TWICE,18:15,19:15,C,Studio 2,10,20,11/29/2023,yes,class08
155,K-FIT | BTS,11:00,12:00,C,Studio 2,10,20,11/25/2023,yes,class08
156,STRAY KIDS | LALALALA,13:00,15:00,C,Studio 2,16,33,11/26/2023,yes,class03
157,WAYV | POPPING LOVE,19:30,21:30,C,Studio 2,16,30,11/22/2023,yes,class03
158,NEW JEANS | OMG,13:00,15:00,C,Studio 2,16,30,11/19/2023,yes,class03
159,aespa | DRAMA,13:00,15:00,B,Studio 2,16,30,11/25/2023,yes,class03
162,ZEROBASEONE | CRUSH,19:30,21:30,D,Studio 2,16,30,11/29/2023,yes,class03
163,NCT 127 | CHERRY BOMB,13:00,15:00,B,Studio 2,16,30,12/2/2023,yes,class03
164,BLACKPINK | HOW YOU LIKE THAT,15:30,17:30,C,Studio 2,16,30,12/2/2023,yes,class03
165,LE SSERAFIM | ANTIFRAGLE,13:00,15:00,C,Studio 2,16,30,12/3/2023,yes,class03
167,WAYV | ON MY YOUTH,19:30,21:30,C,Studio 2,16,30,12/6/2023,yes,class03
168,ENHYPEN | SWEET VENOM,13:00,15:00,B,Studio 2,16,30,12/9/2023,yes,class03
169,BLACKPINK | PRETTY SAVAGE,13:00,14:15,C,Studio 1,10,20,12/9/2023,yes,class02
170,BTS | FIRE,15:30,17:30,D,Studio 2,16,30,12/9/2023,yes,class03
171,TWICE | THE FEELS,13:00,15:00,B,Studio 2,16,30,12/10/2023,yes,class03
172,B.I | BTBT,15:30,17:30,D,Studio 2,16,30,12/10/2023,yes,class03
173,STRAY KIDS | EX,19:30,21:30,D,Studio 2,16,30,12/13/2023,yes,class03
174,NewJeans | GODS,13:00,15:00,B,Studio 2,16,30,12/16/2023,no,class03
175,DINO | WAIT,15:30,17:30,D,Studio 2,16,30,1/7/2024,yes,class03
176,ATEEZ | CRAZY FORM,15:30,17:30,C,Studio 2,16,30,12/17/2023,yes,class03
177,B.I | LOVED,19:30,21:30,D,Studio 2,16,30,12/20/2023,yes,class03
178,BABYMONSTER | BATTER UP,13:00,15:00,B,Studio 2,16,30,12/17/2023,yes,class03
179,K-FIT | TXT X SEVENTEEN,12:00,13:00,C,Studio 2,10,20,12/6/2023,no,class08
180,K-FIT | TXT x SEVENTEEN,18:15,19:15,C,Studio 2,10,30,12/6/2023,yes,class08
181,K-FIT | TXT x SEVENTEEN,11:00,12:00,C,Studio 2,10,30,12/9/2023,yes,class08
182,K-FIT | aespa x EVERGLOW,12:00,13:00,C,Studio 2,10,30,12/13/2023,yes,class08
183,K-FIT | aespa x EVERGLOW,18:15,19:15,C,Studio 2,10,30,12/13/2023,yes,class08
184,K-FIT | aespa x EVERGLOW,11:00,12:00,C,Studio 2,10,30,12/16/2023,yes,class08
185,K-FIT | XMAS SPECIAL,12:00,13:00,C,Studio 2,10,30,12/20/2023,yes,class08
187,STRAY KIDS | LALALALA,13:00,14:15,C,Studio 1,10,20,12/2/2023,yes,class02
188,C : CHOREO,19:30,21:00,C,Studio 2,12,20,12/1/2023,yes,class07
190,AESPA | ILLUSION,13:00,14:15,C,Studio 1,10,20,12/16/2023,yes,class02
191,ITZY | LOCO,15:30,17:30,C,Studio 2,16,30,12/3/2023,yes,class03
193,C'S CHOREO | Sexy Back (Justin Timberlake),13:00,15:00,C,Studio 1,16,20,12/10/2023,yes,class01
194,B'S CHOREO | Cravin' (Dani Leigh),13:00,14:30,B,Studio 1,12,20,1/21/2024,yes,class01
196,K-FIT | (G)I-DLE,18:15,19:15,C,Studio 2,10,30,1/10/2024,yes,class08
198,K-FIT | (G)I-DLE,11:00,12:00,C,Studio 2,10,30,1/13/2024,yes,class08
199,K-FIT | IVE,12:00,13:00,C,Studio 2,10,30,1/17/2024,yes,class08
200,K-FIT | IVE,18:15,19:15,C,Studio 2,10,30,1/17/2024,yes,class08
201,K-FIT | IVE,11:00,12:00,C,Studio 2,10,30,1/20/2024,yes,class08
205,K-FIT | ROOKIE GIRL GROUP PLAYLIST,11:00,12:00,C,Studio 2,10,30,1/6/2024,yes,class08
206,NCT DREAM | POISON,13:00,15:00,B,Studio 2,16,30,1/6/2024,yes,class03
207,LE SSERAFIM | UNFORGIVEN,15:30,17:30,C,Studio 2,16,30,1/13/2024,yes,class03
208,aespa | DRAMA,13:00,14:30,C,Studio 1,12,30,1/6/2024,yes,class02
209,ENHYPEN | STILL MONSTER,15:30,17:30,C,Studio 2,16,30,1/14/2024,yes,class03
210,ATEEZ | CRAZY FORM,13:00,15:00,A,Studio 2,16,30,1/7/2024,yes,class03
211,xikers | KOONG,19:30,21:30,A,Studio 2,16,30,1/10/2024,yes,class03
212,BABYMONSTER | BATTER UP,13:00,14:30,C,Studio 1,12,20,1/13/2024,yes,class02
214,ITZY | BORN TO BE,15:30,17:30,C,Studio 2,16,30,1/6/2024,yes,class03
216,NCT U - THE 7TH SENSE,13:00,15:00,B,Studio 2,16,30,1/13/2024,yes,class03
219,aespa | NEXT LEVEL,13:00,15:00,B,Studio 2,16,30,1/14/2024,yes,class03
221,NCT U- BAGGY JEANS,13:00,14:30,E,Studio 1,12,20,1/27/2024,yes,class02
222,SEVENTEEN | 손오공 (SUPER),15:30,17:30,A,Studio 2,16,30,1/21/2024,yes,class03
223,BLACKPINK | AS IF IT'S YOUR LAST,13:00,14:30,C,Studio 2,12,30,1/20/2024,yes,class02
224,TAEMIN | GUILTY,19:30,21:30,E,Studio 2,16,20,1/17/2024,yes,class03
225,TWICE | FEEL SPECIAL,15:30,17:30,E,Studio 2,16,30,1/27/2024,yes,class03
226,BTS | NOT TODAY,15:30,17:30,A,Studio 2,16,30,1/28/2024,yes,class03
227,K-FIT | BTS,12:00,13:00,C,Studio 2,10,30,1/24/2024,yes,class08
228,K-FIT | BTS,18:15,19:15,C,Studio 2,10,30,1/24/2024,yes,class08
229,K-FIT | BTS,11:00,12:00,C,Studio 2,10,30,1/27/2024,yes,class08
230,ITZY | UNTOUCHABLE,15:30,17:30,C,Studio 2,16,30,1/20/2024,yes,class03
231,A CHOREO: Best time - Brent Faiyaz ,19:30,21:00,A,Studio 2,12,20,1/18/2024,yes,class07
232,A CHOREO,19:30,21:00,A,Studio 2,12,30,1/25/2024,yes,class07
233,STRAY KIDS | MEGAVERSE,13:00,15:00,D,Studio 1,16,30,1/20/2024,yes,class03
235,TWS | OH MYMY 7S,13:00,15:00,C,Studio 2,16,30,1/21/2024,yes,class03
236,RIIZE | LOVE 119,19:30,21:30,D,Studio 1,16,30,1/24/2024,yes,class03
238,G-IDLE | NXDE,13:00,15:00,E,Studio 2,16,30,1/28/2024,yes,class03
239,ITZY | MR. VAMPIRE,19:30,21:30,E,Studio 2,16,30,1/31/2024,yes,class03
240,K-FIT | TWICE,18:15,19:15,C,Studio 2,10,30,1/31/2024,yes,class08
241,K-FIT | SEVENTEEN x RIIZE,18:00,19:00,C,Studio 2,10,30,2/7/2024,yes,class08
242,K-FIT | TWICE,11:00,12:00,C,Studio 2,10,30,2/3/2024,yes,class08
243,ATEEZ | HALA HALA,13:00,15:00,B,Studio 2,16,30,1/27/2024,yes,class03
244,C CHOREO | To. X (Taeyeon),19:30,21:00,C,Studio 2,12,20,1/26/2024,yes,class07
245,BLACKPINK | Lovesick Girls,13:00,14:30,C,Studio 2,12,30,2/3/2024,yes,class02
246,BTS | BOY WITH LUV,13:00,14:30,E,Studio 1,12,30,2/11/2024,yes,class02
247,SEVENTEEN | 아낀다 (Adore U),13:00,15:00,A,Studio 2,16,30,2/11/2024,yes,class03
248,BTS | DANGER,15:30,17:30,A,Studio 2,16,30,2/11/2024,yes,class03
249,NCT U | 90's Love,13:00,15:00,B,Studio 1,16,30,2/3/2024,yes,class03
250,TWICE | HEART SHAKER,19:30,21:30,E,Studio 2,16,30,2/14/2024,yes,class03
251,BTS | Butterfly,15:30,17:30,E,Studio 2,16,30,2/3/2024,yes,class03
252,ZEROBASEONE | CRUSH,13:00,15:00,B,Studio 1,16,20,2/17/2024,yes,class03
253,SEVENTEEN | HOT,13:00,15:00,C,Studio 1,16,30,2/4/2024,yes,class03
254,G-IDLE | WIFE,15:30,17:30,E,Studio 1,16,20,2/17/2024,yes,class03
255,TWICE | WHAT IS LOVE,13:00,14:30,C,Studio 1,12,30,2/18/2024,yes,class02
256,ATEEZ | IT'S YOU,13:00,15:30,C,Studio 2,16,30,2/18/2024,yes,class03
257,MONSTA X | LOVE KILLA,15:30,17:30,A,Studio 2,16,30,2/18/2024,yes,class03
258,(G)I-DLE | SUPER LADY,15:30,17:30,C,Studio 2,16,30,2/4/2024,yes,class03
259,G-IDLE | TOMBOY,13:00,14:30,C,Studio 1,12,20,2/24/2024,yes,class02
260,DINO | Unholy,19:30,21:30,A,Studio 2,16,30,2/7/2024,yes,class03
261,EXO | LOVE SHOT,13:00,15:00,D,Studio 2,16,30,2/24/2024,yes,class03
262,BLACKPINK | DON'T KNOW WHAT TO DO,13:00,14:30,C,Studio 1,12,30,2/25/2024,yes,class02
263,IVE | LOVE DIVE (+ Dance Break),13:00,15:00,B,Studio 2,16,30,2/10/2024,yes,class03
264,NCT U | BABY DON'T STOP,13:00,15:00,B,Studio 2,16,30,2/25/2024,yes,class03
265,NMIXX | Dash,15:30,17:30,B,Studio 2,16,30,2/10/2024,yes,class03
266,NCT x  aespa | ZOO,19:30,21:30,A,Studio 2,16,30,2/28/2024,yes,class03
267,K-FIT | SEVENTEEN x RIIZE,12:00,13:00,C,Studio 2,10,20,2/7/2024,no,class08
268,K-FIT | LOVE SONGS,18:00,19:00,C,Studio 2,10,20,2/14/2024,no,class08
269,K-FIT | LOVE SONGS,12:00,13:00,C,Studio 2,10,20,2/14/2024,yes,class08
270,K-FIT | LOVE SONGS,11:00,12:00,C,Studio 1,10,15,2/17/2024,yes,class08
271,K-FIT | 2nd Gen Girl groups,12:00,13:00,C,Studio 2,10,20,2/21/2024,yes,class08
272,K-FIT | 2nd Gen Girl Groups,18:00,19:00,C,Studio 2,10,20,2/21/2024,yes,class08
273,K-FIT | 2nd Gen Girl Groups,11:00,12:00,C,Studio 2,10,20,2/24/2024,yes,class08
274,A CHOREO,19:30,21:00,A,Studio 2,12,20,2/8/2024,yes,class07
275,TWS | ‘첫 만남은 계획대로 되지 않아’ (plot twist),19:30,21:30,D,Studio 2,16,30,2/21/2024,yes,class03
276,A CHOREO,19:30,21:00,A,Studio 2,12,20,2/22/2024,yes,class07
277,LE SSERAFIM | PERFECT NIGHT,13:00,14:30,C,Studio 2,12,20,2/4/2024,yes,class02
278,C CHOREO,19:30,21:00,C,Studio 2,12,20,2/16/2024,yes,class07
279,K-FIT | BLACKPINK,18:00,19:00,C,Studio 2,10,20,2/28/2024,yes,class08
280,K-FIT | BLACKPINK,11:00,12:00,C,Studio 2,10,20,3/2/2024,yes,class08
281,K-FIT | BLACKPINK,12:00,13:00,C,Studio 2,10,20,2/28/2024,yes,class08
282,TWICE | TALK THAT TALK,15:30,17:30,C,Studio 2,16,30,2/24/2024,yes,class03
283,KISS OF LIFE | NOBODY KNOWS,15:30,17:30,D,Studio 2,16,30,2/25/2024,yes,class03
284,B CHOREO,15:30,17:00,B,Studio 1,12,20,2/25/2024,yes,class01
285,IVE | AFTER LIKE,13:00,14:30,C,Studio 1,12,30,3/2/2024,yes,class02
286,TEN | NIGHTWALKER ,13:00,15:00,B,Studio 2,16,30,3/2/2024,yes,class03
287,K-FIT ,11:00,12:00,C,Studio 2,10,20,3/9/2024,yes,class08
288,LE SSERAFIM | EASY,15:30,17:30,C,Studio 2,16,30,3/2/2024,yes,class03
289,ATEEZ | DJANGO,13:00,15:00,A,Studio 2,16,30,3/3/2024,yes,class03
290,TAEMIN | THE RIZZNESS,15:30,17:30,D,Studio 2,16,30,3/3/2024,yes,class03
291,K-FIT,18:00,19:00,C,Studio 2,10,20,3/6/2024,yes,class08
292,TWS | BFF,19:30,21:30,A,Studio 2,16,30,3/6/2024,yes,class03
293,K-FIT,11:00,12:00,C,Studio 2,10,20,3/16/2024,yes,class08
294,VIVIZ | MANIAC,13:00,14:30,C,Studio 1,12,30,3/9/2024,yes,class02
295,NCT 127 | LEMONADE,13:00,15:00,B,Studio 2,16,30,3/9/2024,yes,class03
296,TEN | PERFORMANCE FILM 10,15:30,17:30,D,Studio 2,16,30,3/9/2024,yes,class03
297,NCT WISH | WISH,13:00,15:00,A,Studio 2,16,30,3/10/2024,yes,class03
298,LE SSERAFIM | SWAN SONG,15:30,17:30,C,Studio 2,16,30,3/10/2024,yes,class03
299,K-FIT,18:00,19:00,C,Studio 2,10,20,3/13/2024,yes,class08
300,P1HARMONY | KILLIN' IT,19:30,21:30,D,Studio 2,16,30,3/13/2024,yes,class03
301,LE SSERAFIM | BLUE FLAME,13:00,14:30,C,Studio 1,12,20,3/16/2024,yes,class02
302,AESPA | TRICK OR TRICK,13:00,15:00,B,Studio 2,16,30,3/16/2024,yes,class03
303,EXO | THE EVE,15:30,17:30,D,Studio 2 ,16,30,3/16/2024,yes,class03
304,SEVENTEEN | LILILI YABBAY,13:00,15:00,B,Studio 2,16,30,3/17/2024,yes,class03
305,BTS | MIC DROP,15:30,17:30,A,Studio 2,16,30,3/17/2024,yes,class03
306,K-FIT,11:00,12:00,C,Studio 2,10,20,3/23/2024,yes,class08
307,SEVENTEEN | LEFT & RIGHT,13:00,14:30,C,Studio 1,12,20,3/23/2024,yes,class02
308,K-FIT,11:00,12:00,C,Studio 2,10,20,3/30/2024,yes,class08
309,BLACKINK | PLAYING WITH FIRE,13:00,14:30,C,Studio 1,12,20,3/30/2024,yes,class02
310,A CHOREO,19:30,21:00,A,Studio 2,12,20,3/7/2024,yes,class07
311,C CHOREO,19:30,21:00,C,Studio 2,12,20,3/15/2024,yes,class07
